constituency_number,alliance,party,candidate
67,SPA,DMK,Mahalakshmi Govarthanan
67,AIADMK+,AIADMK,L. Jaya Sudha
68,SPA,DMK,O. Jothi
68,AIADMK+,AIADMK,Mukkur N. Subramanian
69,SPA,DMK,Ambethkumar
69,AIADMK+,AIADMK,P. Rani
70,SPA,DMK,K. S. Masthan
70,AIADMK+,PMK,A. Ganeshkumar
71,SPA,DMDK,L. Venkatesan
71,AIADMK+,AIADMK,C. Ve. Shanmugam
72,SPA,VCK,
72,AIADMK+,AIADMK,P. Arjunan
73,SPA,DMK,Gautham Dravidamani
73,AIADMK+,AIADMK,P. Murugan
74,SPA,DMK,R. Lakshmanan
74,AIADMK+,AIADMK,K. Vijaya
75,SPA,DMK,Anniyur Siva
75,AIADMK+,PMK,
76,SPA,DMK,Gautham Sigamani
76,AIADMK+,AIADMK,S. Palaniswami
77,SPA,DMK,G. R. Vasanthavelu
77,AIADMK+,AIADMK,R. Kumaraguru
78,SPA,DMK,Vasantham Karthikeyan
78,AIADMK+,PMK,
79,SPA,DMK,T. Udhaya Suriyan
79,AIADMK+,AIADMK,R. Rakesh
80,SPA,VCK,
80,AIADMK+,AIADMK,S. Rajiv Gandhi
81,SPA,DMK,K. Chinnadurai
81,AIADMK+,AIADMK,A. Nallathambi
82,SPA,INC,
82,AIADMK+,AIADMK,A. P. Jayasankaran
83,SPA,DMK,T. M. Revathi Matheswaran
83,AIADMK+,AIADMK,P. Usharani
84,SPA,DMDK,A. R. Elangovan
84,AIADMK+,AIADMK,R. Mani
85,SPA,DMK,Mithun Chakravarthy
85,AIADMK+,AIADMK,G. Venkatachalam
86,SPA,DMK,Kasi
86,AIADMK+,AIADMK,Edappadi K. Palaniswami
87,SPA,DMK,M. Manikandan
87,AIADMK+,AIADMK,S. Vetrivel
88,SPA,DMDK,Azhagappuram Mohan Raj
88,AIADMK+,PMK,
89,SPA,DMK,R. Rajendran
89,AIADMK+,PMK,
90,SPA,DMK,M. Loganathan
90,AIADMK+,AIADMK,J. Vinodh
91,SPA,DMK,A. K. Tharun
91,AIADMK+,AIADMK,Dr. Sri Balaji Sukumar
92,SPA,DMK,M. Mathivendhan
92,AIADMK+,BJP,
93,SPA,DMK,P. Poomalar
93,AIADMK+,AIADMK,C. Chandrashekhar
94,SPA,DMK,P. Rani
94,AIADMK+,AIADMK,Sridevi P. S. Mohan
95,SPA,DMK,K. S. Moorthy
95,AIADMK+,AIADMK,S. Sekar
96,SPA,DMK,E. R. Eswaran
96,AIADMK+,AIADMK,R. Chandrashekhar
97,SPA,DMK,S. Balu
97,AIADMK+,AIADMK,P. Thangamani
98,SPA,INC,
98,AIADMK+,AIADMK,R. Manoharan
99,SPA,DMK,S. Muthusamy
99,AIADMK+,BJP,M. Yuvaraja
100,SPA,DMK,Senthilnathan
100,AIADMK+,BJP,
101,SPA,DMK,Dr. Indirani
101,AIADMK+,AIADMK,P. Sathyabama
102,SPA,DMK,M. P. Saminathan
102,AIADMK+,AIADMK,N. S. N. Nataraj
103,SPA,DMK,N. D. Venkatachalam
103,AIADMK+,AIADMK,S. Jayakumar
104,SPA,DMK,K. A. Chandrasekhar
104,AIADMK+,AIADMK,K. C. Karuppannan
105,SPA,DMK,M. Sivabalan
105,AIADMK+,AIADMK,P. Haribhaskar
106,SPA,DMK,N. Nallasivam
106,AIADMK+,AIADMK,V. B. Prabhu
107,SPA,CPI,P. L. Sundaram
107,AIADMK+,AIADMK,A. Bannari
108,SPA,INC,
108,AIADMK+,BJP,
109,SPA,DMK,Dravidamani
109,AIADMK+,AIADMK,Pon. Jayaseelan
110,SPA,DMK,K. M. Raju
110,AIADMK+,AIADMK,A. Ramu
111,SPA,DMK,Kavitha Kalyanachundaram
111,AIADMK+,AIADMK,O. K. Chinnaraj
112,SPA,DMK,Gokilamani
112,AIADMK+,BJP,
113,SPA,CPI,Ravi Subramanian
113,AIADMK+,AIADMK,M. S. M. Anandan
114,SPA,DMK,K. Dineshkumar
114,AIADMK+,BJP,
115,SPA,DMK,K. Selvaraj
115,AIADMK+,AIADMK,K. P. Paramasivam
116,SPA,DMK,S. Murugesan
116,AIADMK+,AIADMK,V. P. Kandasamy
117,SPA,INC,
117,AIADMK+,AIADMK,P. R. G. Arunkumar
118,SPA,DMK,Senthamizhselvan
118,AIADMK+,BJP,
119,SPA,DMK,N. R. Karthikeyan
119,AIADMK+,AIADMK,S. P. Velumani
120,SPA,DMK,V. Senthil Balaji
120,AIADMK+,AIADMK,Amman K. Arjunan
121,SPA,INC,
121,AIADMK+,AIADMK,K. R. Jayaraman
122,SPA,DMK,K. V. K. S. Sabari Karthikeyan
122,AIADMK+,AIADMK,S. Damodaran
123,SPA,DMK,K. Nithyanandhan
123,AIADMK+,AIADMK,Pollachi V. Jayaraman
124,SPA,DMK,A. Sudhakar
124,AIADMK+,AIADMK,D. Lakshmana Singh
125,SPA,DMK,K. Radhakrishnan
125,AIADMK+,AIADMK,Udumalai K. Radhakrishnan
126,SPA,DMK,R. Jayaramakrishnan
126,AIADMK+,AMMK,C. Shanmugavelu
127,SPA,CPI(M),
127,AIADMK+,AIADMK,K. Ravi Manoharan
128,SPA,DMK,R. Sakkarapani
128,AIADMK+,BJP,Vidiyal Sekar
129,SPA,DMK,I. Periyasamy
129,AIADMK+,AIADMK,A. Viswanathan
130,SPA,DMK,Nagajothi
130,AIADMK+,AIADMK,S. Thaenmozhi
131,SPA,DMK,
131,AIADMK+,AIADMK,Natham R. Viswanathan
132,SPA,DMK,I. P. Senthilkumar
132,AIADMK+,AIADMK,Dindigul C. Sreenivasan
133,SPA,DMK,S. Gandhirajan
133,AIADMK+,AIADMK,V. P. B. Paramasivam
134,SPA,DMK,Monjanur R. Elango
134,AIADMK+,AIADMK,K. Selvakumar
135,SPA,DMK,Asi. M. Thyagarajan
135,AIADMK+,AIADMK,M. R. Vijayabhaskar
136,SPA,DMK,C. K. Raja
136,AIADMK+,AIADMK,Dr. S. Dhivya
137,SPA,DMK,Suriyanur A. Chandiran
137,AIADMK+,AIADMK,S. Karunakaran
138,SPA,DMK,P. Abdul Samad
138,AIADMK+,AIADMK,Dr. P. L. Vijayakumar
139,SPA,DMK,S. Palaniandi
139,AIADMK+,AIADMK,R. Manoharan
140,SPA,DMK,K. N. Nehru
